Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
PIK3R2,0.010149943638641523,0.0005447483562964669,0.6442307692307692,0.3565468770801937,-0.2938388309162973,0.06270804616389639,16,26,large,higher_in_label1(disease)
VPS37D,0.010698583748368636,0.0005995260032629622,0.6394230769230769,0.0261160289636074,-0.017444462403529076,0.008671566560078324,16,26,large,higher_in_label1(disease)
S1PR1,0.010698583748368636,0.0005995260032629622,-0.6394230769230769,-0.025800944943158502,0.023840814559275753,-0.0019601303838827503,16,26,large,higher_in_label0(control)
FABP5,0.010698583748368636,0.0005995260032629622,0.6394230769230769,0.006722911923836325,-0.0041743925307155,0.002548519393120825,16,26,large,higher_in_label1(disease)
GIT1,0.010698583748368636,0.0005995260032629622,-0.6394230769230769,-0.07346178173926568,0.04995099774712365,-0.023510783992142025,16,26,large,higher_in_label0(control)
PEBP1,0.010698583748368636,0.0005995260032629622,-0.6394230769230769,-0.025357491099157796,0.021948908665169672,-0.003408582433988125,16,26,large,higher_in_label0(control)
PSMD6,0.010698583748368636,0.0005995260032629622,-0.6394230769230769,-0.07493699428801555,0.07328821001965302,-0.001648784268362525,16,26,large,higher_in_label0(control)
CSNK2A2,0.011139384445888885,0.0006593952907984739,0.6346153846153846,0.017999474798931926,-0.014855432370567075,0.00314404242836485,16,26,large,higher_in_label1(disease)
ADRA2A,0.011139384445888885,0.0006593952907984739,-0.6346153846153846,-0.01642915970584375,0.0126261212585806,-0.00380303844726315,16,26,large,higher_in_label0(control)
IDE,0.011139384445888885,0.0006593952907984739,-0.6346153846153846,-0.026303492506505325,0.02782036010047875,0.001516867593973425,16,26,large,higher_in_label0(control)
ARF1,0.011139384445888885,0.0006593952907984739,-0.6346153846153846,-0.05535004444425483,0.05251641079949268,-0.0028336336447621503,16,26,large,higher_in_label0(control)
PAK1,0.011139384445888885,0.0006593952907984739,0.6346153846153846,0.07259337623314666,-0.037779883702710175,0.034813492530436474,16,26,large,higher_in_label1(disease)
GABRQ,0.011139384445888885,0.0006593952907984739,-0.6346153846153846,-0.004703497831054205,0.004760425446359,5.6927615304794636e-05,16,26,large,higher_in_label0(control)
TSG101,0.011139384445888885,0.0006593952907984739,0.6346153846153846,0.13961541544251593,-0.13016517153502052,0.0094502439074954,16,26,large,higher_in_label1(disease)
NUP214,0.011139384445888885,0.0006593952907984739,0.6346153846153846,0.24622765553499504,-0.20624618474080122,0.03998147079419383,16,26,large,higher_in_label1(disease)
POMT2,0.011773120158590207,0.0007247856135517254,-0.6298076923076923,-0.09565075104864032,0.0947653701436372,-0.000885380905003125,16,26,large,higher_in_label0(control)
ACACA,0.011773120158590207,0.0007247856135517254,-0.6298076923076923,-0.0289643136887591,0.029818132373233174,0.000853818684474075,16,26,large,higher_in_label0(control)
ID4,0.011773120158590207,0.0007247856135517254,-0.6298076923076923,-0.050330133222155675,0.052039141216014176,0.0017090079938585,16,26,large,higher_in_label0(control)
IFNGR1,0.011773120158590207,0.0007247856135517254,0.6298076923076923,0.038401714972949474,-0.03411643195933123,0.00428528301361825,16,26,large,higher_in_label1(disease)
AVPR1A,0.011773120158590207,0.0007247856135517254,-0.6298076923076923,-0.018587328522825325,0.018296906241422026,-0.0002904222814033001,16,26,large,higher_in_label0(control)
MAP2K7,0.011773120158590207,0.0007247856135517254,-0.6298076923076923,-0.04629527521663715,0.0450419627525752,-0.00125331246406195,16,26,large,higher_in_label0(control)
CDC42EP2,0.012377085428359356,0.0007961582181620266,0.625,0.024625600042525904,-0.022203322210821552,0.00242227783170435,16,26,large,higher_in_label1(disease)
CEBPD,0.012377085428359356,0.0007961582181620266,0.625,0.027903226998395352,-0.026280771275981978,0.0016224557224133749,16,26,large,higher_in_label1(disease)
MUC7,0.012377085428359356,0.0007961582181620266,-0.625,-0.02623464974563225,0.0310734471248602,0.00483879737922795,16,26,large,higher_in_label0(control)
MYH11,0.012377085428359356,0.0007961582181620266,-0.625,-0.08978615084691617,0.0832519983865804,-0.006534152460335775,16,26,large,higher_in_label0(control)
FXYD3,0.012377085428359356,0.0007961582181620266,0.625,0.010320856394495925,-0.008925227545185176,0.00139562884931075,16,26,large,higher_in_label1(disease)
PRKCA,0.012377085428359356,0.0007961582181620266,0.625,0.28050352225102976,-0.26775269242344696,0.012750829827582825,16,26,large,higher_in_label1(disease)
ATP6V1G1,0.012377085428359356,0.0007961582181620266,-0.625,-0.04281633094046253,0.039173866537524374,-0.0036424644029381496,16,26,large,higher_in_label0(control)
HDAC6,0.013027862787254398,0.0008740081585766566,0.6201923076923077,0.11638450628896774,-0.0984795597492823,0.017904946539685447,16,26,large,higher_in_label1(disease)
ANO4,0.013027862787254398,0.0008740081585766566,0.6201923076923077,0.0156596355340313,-0.017657792229265175,-0.0019981566952338753,16,26,large,higher_in_label1(disease)
