Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
ATP6V1G3,0.007921054572086531,0.0012191046894687242,0.4121923937360179,0.0028722266203622723,4.8956323221327954e-05,0.0029211829435836,24,149,medium,higher_in_label1(disease)
ZDHHC5,0.007921054572086531,0.0012191046894687242,0.4121923937360179,0.020548447961930248,-0.02062575493002555,-7.730696809529996e-05,24,149,medium,higher_in_label1(disease)
TAS2R38,0.007921054572086531,0.0012191046894687242,0.4121923937360179,0.0010491403049603988,6.096759958701041e-06,0.0010552370649191,24,149,medium,higher_in_label1(disease)
TAS2R41,0.008023162173393114,0.0012379859549316132,-0.4116331096196868,-0.0028667882962937065,-1.7799414521293464e-05,-0.002884587710815,24,149,medium,higher_in_label0(control)
DUT,0.008126492437750214,0.0012571369516961655,0.4110738255033557,0.004865907312650601,-0.006649836024418701,-0.0017839287117681,24,149,medium,higher_in_label1(disease)
PRKCQ,0.008358086878607477,0.0012962620928542773,-0.4099552572706935,-0.006931255060075507,0.0069523705541809,2.1115494105393374e-05,24,149,medium,higher_in_label0(control)
PAG1,0.008443950766071507,0.0013162433119961504,0.4093959731543624,0.01312225028183515,-0.01336583457364615,-0.000243584291811,24,149,medium,higher_in_label1(disease)
STK11,0.008443950766071507,0.0013162433119961504,0.4093959731543624,0.01286261119336615,-0.01270277606475235,0.0001598351286138,24,149,medium,higher_in_label1(disease)
ITPR1,0.008466780794078949,0.001336508412640718,-0.4088366890380313,-0.033602767700768296,0.033981213147537,0.0003784454467687,24,149,medium,higher_in_label0(control)
TAS2R3,0.008466780794078949,0.001336508412640718,0.4088366890380313,0.005637683838746989,2.8441539395961484e-05,0.00566612537814295,24,149,medium,higher_in_label1(disease)
PSMD3,0.008466780794078949,0.001336508412640718,-0.4088366890380313,-0.059151002471527096,0.0231299627551911,-0.036021039716335995,24,149,medium,higher_in_label0(control)
BECN1,0.008466780794078949,0.001336508412640718,0.4088366890380313,0.028789657880609873,-0.0034909200720897255,0.02529873780852015,24,149,medium,higher_in_label1(disease)
COPS2,0.008466780794078949,0.001336508412640718,-0.4088366890380313,-0.012486855678316275,0.013270500759222575,0.0007836450809063,24,149,medium,higher_in_label0(control)
GTF2A2,0.008532984253517317,0.001357061031636732,-0.40827740492170017,-0.00399484915825385,0.00159327619392195,-0.0024015729643319,24,149,medium,higher_in_label0(control)
LAMB1,0.008532984253517317,0.001357061031636732,0.40827740492170017,0.03390630972688885,-0.03630513773260475,-0.0023988280057159,24,149,medium,higher_in_label1(disease)
POLR2C,0.008532984253517317,0.001357061031636732,0.40827740492170017,0.0315394834380355,-0.0305704241144898,0.0009690593235457,24,149,medium,higher_in_label1(disease)
SMO,0.008642601189187613,0.0013779048462635344,0.40771812080536907,0.0184502702123304,-0.0022962966601409,0.0161539735521895,24,149,medium,higher_in_label1(disease)
RB1,0.008731961620717012,0.0013990435745900186,-0.4071588366890381,-0.010096152494015848,0.004073161316624449,-0.0060229911773913986,24,149,medium,higher_in_label0(control)
KTN1,0.008731961620717012,0.0013990435745900186,0.40715883668903796,0.015682658321671747,-0.014075830820454799,0.0016068275012169498,24,149,medium,higher_in_label1(disease)
ULK3,0.008843977377806294,0.0014204809758355018,0.40659955257270686,0.0014956049717355499,-0.00016299700640945,0.0013326079653260998,24,149,medium,higher_in_label1(disease)
ANO10,0.008957322636657508,0.0014422208507325427,0.40604026845637575,0.031050789484692608,-0.0310702404361881,-1.9450951495492424e-05,24,149,medium,higher_in_label1(disease)
RFC2,0.009049884595495904,0.0014642670418916026,-0.40548098434004476,-0.02567492076833695,0.02542903226781965,-0.0002458885005173,24,149,medium,higher_in_label0(control)
MECOM,0.009049884595495904,0.0014642670418916026,0.40548098434004465,0.003105694592386875,-0.003246253903743225,-0.00014055931135635,24,149,medium,higher_in_label1(disease)
POLR2F,0.009165702633043494,0.00148662343416767,-0.40492170022371365,-0.042782045791111306,0.0266865462663733,-0.016095499524738002,24,149,medium,higher_in_label0(control)
HTR1B,0.009401462578359335,0.001532282574925969,0.40380313199105156,0.00020376474377611467,-0.00014987538940425,5.388935437186466e-05,24,149,medium,higher_in_label1(disease)
ARHGAP33,0.009401462578359335,0.001532282574925969,-0.40380313199105144,-0.0013208541965349751,0.000717017638818475,-0.0006038365577165,24,149,medium,higher_in_label0(control)
FLOT2,0.009789161869734022,0.0016031973859272372,0.40212527964205824,0.012731939163647924,-0.012942097586354775,-0.00021015842270685,24,149,medium,higher_in_label1(disease)
TGIF1,0.009789161869734022,0.0016031973859272372,0.40212527964205824,0.015400526611936551,-0.01600328237201505,-0.0006027557600785,24,149,medium,higher_in_label1(disease)
FAM169A,0.009889885883286818,0.0016274989792149184,0.40156599552572714,0.001954186036273012,-0.0019204480781342499,3.3737958138762096e-05,24,149,medium,higher_in_label1(disease)
PRKACG,0.009889885883286818,0.0016274989792149184,-0.401565995525727,-0.0083666567594918,0.0097376988860391,0.0013710421265473,24,149,medium,higher_in_label0(control)
PSMD8,0.009991696148611921,0.0016521391816370936,0.40100671140939603,0.0250453024978708,-0.0254011423381703,-0.0003558398402995,24,149,medium,higher_in_label1(disease)
PTGDR,0.009991696148611921,0.0016521391816370936,-0.4010067114093959,-0.00235560512691705,0.0009630077635667501,-0.0013925973633503,24,149,medium,higher_in_label0(control)
TAOK3,0.010070681823140389,0.0016771222294259052,0.40044742729306493,0.0020910080983853,-0.000883203808737,0.0012078042896483,24,149,medium,higher_in_label1(disease)
FXYD4,0.010070681823140389,0.0016771222294259052,0.40044742729306493,0.0002132978846055929,4.070448968980709e-05,0.0002540023742954,24,149,medium,higher_in_label1(disease)
ATR,0.010070681823140389,0.0016771222294259052,0.40044742729306493,0.0101666292236513,-0.01043069870826295,-0.0002640694846116499,24,149,medium,higher_in_label1(disease)
RANBP9,0.010126794349420562,0.0017024524044408679,-0.3998881431767338,-0.010434272987143877,0.010467300369092975,3.3027381949099634e-05,24,149,medium,higher_in_label0(control)
